['Step', 'FENEBond', 'AngleForce', 'RepulsiveSoftCore', 'TypetoType', 'IdealChromosome']
600500,56060.655,3169.400,948.689,-5218.063,-1318.501
601000,56112.093,3187.329,941.628,-5329.801,-1342.670
601500,56069.939,3162.579,917.331,-5227.657,-1318.311
602000,56152.325,3170.707,1022.970,-5324.344,-1323.590
602500,56173.484,3225.412,943.068,-5308.921,-1341.694
603000,56146.620,3243.195,902.066,-5250.792,-1339.979
603500,56140.260,3150.380,951.997,-5245.615,-1352.750
604000,56117.148,3147.501,873.364,-5199.023,-1344.893
604500,56108.992,3153.773,893.135,-5229.141,-1342.689
605000,56179.921,3239.430,925.091,-5273.284,-1366.531
605500,56088.430,3256.506,965.811,-5318.880,-1365.000
606000,56243.545,3199.050,945.085,-5244.123,-1324.210
606500,56213.474,3117.800,917.810,-5238.827,-1318.971
607000,56145.868,3149.477,936.515,-5255.822,-1301.402
607500,56123.934,3133.207,942.331,-5260.292,-1314.677
608000,56134.682,3145.512,864.121,-5197.252,-1322.609
608500,56159.958,3168.530,873.665,-5192.528,-1327.409
609000,56091.392,3183.569,872.718,-5194.566,-1323.961
609500,56114.894,3168.622,1022.405,-5309.568,-1342.955
610000,56141.473,3143.667,1071.680,-5396.568,-1332.897
610500,56158.504,3143.623,975.720,-5322.660,-1325.583
611000,56141.609,3157.528,872.732,-5238.933,-1355.393
611500,56141.145,3157.694,886.008,-5177.626,-1337.829
612000,56112.221,3157.861,929.810,-5213.809,-1323.904
612500,56115.234,3132.293,883.797,-5202.868,-1329.479
613000,56141.708,3161.238,804.532,-5203.293,-1344.153
613500,56120.572,3119.007,901.013,-5324.211,-1340.514
614000,56154.967,3163.964,935.974,-5287.328,-1370.409
614500,56174.897,3164.232,890.516,-5237.365,-1349.995
615000,56147.097,3143.476,978.265,-5232.050,-1309.202
615500,56137.398,3194.328,950.064,-5240.129,-1336.628
616000,56115.160,3180.914,954.181,-5245.413,-1349.268
616500,56095.404,3198.615,953.169,-5256.934,-1352.437
617000,56161.350,3177.299,968.888,-5292.362,-1357.880
617500,56067.970,3130.272,925.908,-5309.375,-1352.896
618000,56116.656,3132.604,937.996,-5320.092,-1352.635
618500,56146.702,3195.699,863.626,-5326.826,-1358.045
619000,56121.596,3154.873,957.127,-5360.140,-1367.150
619500,56121.702,3168.294,917.583,-5297.586,-1351.925
620000,56099.082,3229.090,791.449,-5274.735,-1370.060
620500,56185.992,3119.778,894.281,-5212.847,-1351.113
621000,56106.059,3192.498,873.284,-5190.549,-1336.920
621500,56086.459,3150.851,886.050,-5158.046,-1316.485
622000,56131.340,3167.314,891.508,-5209.074,-1325.574
622500,56155.100,3193.296,923.655,-5296.902,-1347.726
623000,56063.917,3127.560,856.500,-5226.304,-1316.313
623500,56137.103,3190.299,837.785,-5205.970,-1337.288
624000,56127.747,3155.663,935.720,-5284.171,-1346.341
624500,56151.659,3202.922,961.388,-5292.806,-1350.797
625000,56107.394,3112.156,1094.205,-5422.393,-1338.640
625500,56122.931,3149.047,1034.029,-5357.192,-1332.840
626000,56085.718,3185.696,1005.685,-5387.446,-1362.667
626500,56094.054,3157.827,1032.544,-5356.403,-1389.985
627000,56162.578,3204.708,944.655,-5362.797,-1389.462
627500,56144.672,3159.168,825.757,-5251.829,-1353.033
628000,56089.855,3168.226,928.716,-5208.808,-1332.860
628500,56097.843,3204.734,918.269,-5247.394,-1365.103
629000,56161.265,3241.016,1029.122,-5256.832,-1381.139
629500,56196.125,3213.453,942.520,-5276.505,-1378.230
630000,56151.624,3213.786,885.879,-5234.988,-1357.765
630500,56107.301,3290.519,1064.937,-5267.774,-1405.949
631000,56192.028,3207.894,940.745,-5261.857,-1409.338
631500,56094.035,3195.330,934.380,-5218.088,-1389.326
632000,56160.072,3182.598,1050.377,-5327.616,-1381.312
632500,56082.678,3238.575,1002.019,-5388.484,-1384.623
633000,56138.556,3275.550,1033.742,-5438.696,-1380.045
633500,56057.985,3233.971,981.869,-5357.369,-1382.648
634000,56119.277,3171.771,935.815,-5215.351,-1343.447
634500,56124.174,3119.560,875.655,-5282.268,-1348.274
635000,56166.669,3179.158,934.168,-5327.175,-1351.525
635500,56142.503,3145.113,980.559,-5272.167,-1320.672
636000,56029.246,3144.017,926.571,-5282.214,-1318.430
636500,56068.208,3168.253,909.660,-5252.858,-1349.538
637000,56152.610,3138.144,929.449,-5310.888,-1320.733
637500,56102.947,3163.053,927.178,-5305.354,-1337.947
638000,56104.145,3174.639,878.271,-5310.837,-1348.595
638500,56105.255,3115.476,848.735,-5257.906,-1325.302
639000,56099.037,3152.182,825.267,-5300.370,-1314.388
639500,56068.690,3177.643,859.595,-5335.417,-1333.911
640000,56092.528,3125.331,985.436,-5342.636,-1318.178
640500,56162.280,3155.017,843.126,-5234.218,-1305.203
641000,56126.492,3129.014,911.278,-5242.109,-1293.591
641500,56136.980,3150.990,894.021,-5291.744,-1305.620
