#Step,RG,Etotal,Epot,Ekin,Temperature

600500,7.778,21.287,19.780,1.508,1.005
601000,7.740,21.275,19.752,1.523,1.015
601500,7.768,21.268,19.765,1.503,1.002
602000,7.756,21.311,19.800,1.511,1.007
602500,7.758,21.283,19.798,1.486,0.990
603000,7.771,21.310,19.801,1.509,1.006
603500,7.785,21.316,19.780,1.536,1.024
604000,7.819,21.252,19.762,1.490,0.993
604500,7.813,21.280,19.758,1.522,1.015
605000,7.810,21.267,19.803,1.465,0.976
605500,7.815,21.304,19.774,1.530,1.020
606000,7.847,21.354,19.845,1.509,1.006
606500,7.855,21.310,19.798,1.513,1.008
607000,7.833,21.317,19.792,1.525,1.017
607500,7.831,21.290,19.773,1.517,1.011
608000,7.858,21.274,19.773,1.501,1.000
608500,7.857,21.279,19.794,1.485,0.990
609000,7.850,21.281,19.775,1.506,1.004
609500,7.826,21.289,19.784,1.505,1.003
610000,7.799,21.269,19.774,1.495,0.996
610500,7.827,21.267,19.775,1.492,0.994
611000,7.877,21.275,19.756,1.519,1.012
611500,7.911,21.246,19.790,1.456,0.971
612000,7.895,21.268,19.787,1.481,0.987
612500,7.866,21.270,19.764,1.507,1.004
613000,7.853,21.265,19.749,1.516,1.010
613500,7.804,21.289,19.718,1.570,1.047
614000,7.794,21.288,19.763,1.525,1.017
614500,7.820,21.300,19.780,1.520,1.013
615000,7.802,21.292,19.811,1.481,0.987
615500,7.791,21.292,19.803,1.490,0.993
616000,7.776,21.312,19.785,1.528,1.018
616500,7.773,21.302,19.778,1.524,1.016
617000,7.784,21.284,19.785,1.499,0.999
617500,7.795,21.213,19.713,1.500,1.000
618000,7.798,21.203,19.732,1.471,0.981
618500,7.786,21.210,19.735,1.475,0.984
619000,7.777,21.232,19.729,1.502,1.002
619500,7.801,21.262,19.749,1.513,1.009
620000,7.849,21.214,19.718,1.496,0.997
620500,7.901,21.257,19.777,1.480,0.986
621000,7.912,21.289,19.780,1.508,1.006
621500,7.924,21.320,19.782,1.538,1.025
622000,7.889,21.298,19.784,1.514,1.009
622500,7.838,21.248,19.774,1.474,0.983
623000,7.868,21.213,19.729,1.484,0.989
623500,7.876,21.264,19.772,1.492,0.994
624000,7.843,21.270,19.760,1.510,1.007
624500,7.813,21.275,19.791,1.484,0.989
625000,7.763,21.274,19.747,1.527,1.018
625500,7.761,21.256,19.770,1.486,0.991
626000,7.762,21.226,19.737,1.489,0.993
626500,7.758,21.244,19.741,1.503,1.002
627000,7.741,21.272,19.749,1.523,1.015
627500,7.798,21.284,19.736,1.547,1.032
628000,7.833,21.251,19.781,1.471,0.980
628500,7.819,21.297,19.767,1.530,1.020
629000,7.805,21.330,19.835,1.495,0.997
629500,7.807,21.298,19.800,1.498,0.999
630000,7.824,21.280,19.786,1.495,0.996
630500,7.810,21.380,19.834,1.546,1.031
631000,7.824,21.320,19.790,1.530,1.020
631500,7.837,21.313,19.770,1.543,1.028
632000,7.776,21.282,19.795,1.487,0.991
632500,7.720,21.258,19.746,1.512,1.008
633000,7.681,21.303,19.775,1.529,1.019
633500,7.733,21.261,19.740,1.522,1.014
634000,7.779,21.231,19.789,1.442,0.961
634500,7.765,21.219,19.723,1.496,0.997
635000,7.740,21.230,19.764,1.466,0.977
635500,7.752,21.236,19.792,1.445,0.963
636000,7.742,21.216,19.727,1.489,0.992
636500,7.738,21.221,19.743,1.477,0.985
637000,7.720,21.236,19.760,1.476,0.984
637500,7.726,21.205,19.746,1.460,0.973
638000,7.718,21.218,19.726,1.492,0.995
638500,7.725,21.224,19.722,1.502,1.001
639000,7.703,21.207,19.713,1.494,0.996
639500,7.696,21.192,19.704,1.489,0.992
640000,7.697,21.250,19.743,1.507,1.005
640500,7.734,21.254,19.772,1.483,0.988
641000,7.755,21.257,19.775,1.481,0.988
641500,7.743,21.265,19.758,1.507,1.005
642000,7.737,21.285,19.753,1.532,1.021
642500,7.771,21.281,19.770,1.511,1.007
643000,7.779,21.275,19.786,1.489,0.993
643500,7.739,21.264,19.747,1.518,1.012
644000,7.738,21.316,19.800,1.516,1.010
